,<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,PriceChange
275,SPY,60,240228,140000,506.64,506.69,505.18,505.84,482523,-0.15790304752881953
276,SPY,60,240228,150000,505.85,506.27,505.35,506.23,1102337,0.07512108332509547
277,SPY,60,240229,90000,508.07,508.835,508.07,508.47,383468,0.07872930895349738
278,SPY,60,240229,100000,508.54,508.74,506.81,507.43,1098905,-0.21827191568018514
279,SPY,60,240229,110000,507.45,507.72,505.36,506.65,635030,-0.1576510000985341
280,SPY,60,240229,120000,506.65,507.42,506.52,507.37,462152,0.1421099378269076
281,SPY,60,240229,130000,507.38,507.89,507.37,507.815,392857,0.08573455792502706
282,SPY,60,240229,140000,507.82,508.29,507.17,507.75,527900,-0.013784411799455158
283,SPY,60,240229,150000,507.76,509.74,507.65,508.12,2351824,0.07089963762407706
284,SPY,60,240301,90000,508.98,509.54,508.56,509.07,394793,0.01768242367086624
285,SPY,60,240301,100000,509.11,510.83,508.67,510.66,937258,0.3044528687317105
286,SPY,60,240301,110000,510.65,511.38,510.16,511.14,755970,0.09595613433858985
287,SPY,60,240301,120000,511.15,512.06,510.72,511.81,507638,0.1291206103883449
288,SPY,60,240301,130000,511.82,512.68,511.68,512.63,564794,0.1582587628463136
289,SPY,60,240301,140000,512.63,513.29,512.56,513.1,614992,0.09168406062852882
290,SPY,60,240301,150000,513.09,513.13,512.32,512.85,1499439,-0.04677541951704556
291,SPY,60,240304,90000,512.03,512.59,512.01,512.51,426640,0.09374450715778729
292,SPY,60,240304,100000,512.51,512.87,512.07,512.66,420867,0.029267721605427656
293,SPY,60,240304,110000,512.67,512.81,512.17,512.72,345881,0.009752862465146823
294,SPY,60,240304,120000,512.71,513.17,512.5,512.97,271759,0.05071092820502641
295,SPY,60,240304,130000,512.98,513.06,512.35,512.76,311041,-0.04288666224804618
296,SPY,60,240304,140000,512.75,514.13,512.61,513.81,601233,0.20672842515844864
297,SPY,60,240304,150000,513.82,514.18,512.17,512.27,1358064,-0.30166206064381845
298,SPY,60,240305,90000,510.24,510.31,509.32,509.68,537888,-0.10975227343995027
299,SPY,60,240305,100000,509.68,510.7,507.51,508.11,1053518,-0.3080364150054923
300,SPY,60,240305,110000,508.13,508.4,506.97,507.68,706928,-0.08856001416960002
301,SPY,60,240305,120000,507.76,508.5,507.54,508.01,475084,0.049235859461162754
302,SPY,60,240305,130000,508.0,508.15,506.68,506.76,665989,-0.24409448818897816
303,SPY,60,240305,140000,506.75,507.37,505.6,505.75,797917,-0.19733596447952642
304,SPY,60,240305,150000,505.69,507.37,504.91,507.19,1651678,0.29662441416678204
305,SPY,60,240306,90000,510.58,510.85,509.63,509.94,540640,-0.12534764385600422
306,SPY,60,240306,100000,509.81,510.57,508.42,510.45,676803,0.12553696475157144
307,SPY,60,240306,110000,510.49,511.64,510.48,511.21,638231,0.1410409606456484
308,SPY,60,240306,120000,511.22,512.05,511.055,511.31,570195,0.0176049450334445
