<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
QQQ,60,240614,90000,476.51,478.13,476.06,478.04,139938
QQQ,60,240614,100000,478.03,478.26,476.48,477.8,201025
QQQ,60,240614,110000,477.81,477.87,476.2,477.51,140890
QQQ,60,240614,120000,477.48,478.09,477.14,477.78,81128
QQQ,60,240614,130000,477.89,478.86,477.76,478.45,132374
QQQ,60,240614,140000,478.4,478.88,477.8,478.68,103912
QQQ,60,240614,150000,478.66,479.26,478.19,479.18,338660
QQQ,60,240617,90000,479.46,479.79,478.2,479.34,130395
QQQ,60,240617,100000,479.43,480.09,478.79,479.9,212001
QQQ,60,240617,110000,480.05,481.02,480.03,480.82,113046
QQQ,60,240617,120000,480.82,483.21,480.69,482.69,229911
QQQ,60,240617,130000,482.87,486.04,482.85,485.94,264545
QQQ,60,240617,140000,485.98,486.86,485.57,486.09,391308
QQQ,60,240617,150000,485.95,486.64,484.84,485.09,690178
QQQ,60,240618,90000,485.01,485.68,484.38,484.66,147592
QQQ,60,240618,100000,484.73,485.52,484.14,484.2,143988
QQQ,60,240618,110000,484.3,484.89,483.44,484.89,136344
QQQ,60,240618,120000,484.91,485.43,484.46,485.33,107144
QQQ,60,240618,130000,485.31,485.9,484.88,485.27,144598
QQQ,60,240618,140000,485.29,485.37,484.27,485.18,112983
QQQ,60,240618,150000,485.12,485.42,484.63,485.24,436877
QQQ,60,240620,90000,486.42,486.82,485.28,486.12,150506
QQQ,60,240620,100000,486.15,486.3,483.38,485.73,205420
QQQ,60,240620,110000,485.76,486.03,484.35,484.52,107344
QQQ,60,240620,120000,484.47,484.76,480.93,482.48,283901
QQQ,60,240620,130000,482.38,482.38,479.66,481.39,233210
QQQ,60,240620,140000,481.4,482.53,480.93,480.93,236993
QQQ,60,240620,150000,480.93,482.19,479.76,481.38,612260
QQQ,60,240621,90000,481.18,481.42,478.72,479.62,223838
QQQ,60,240621,100000,479.62,481.05,479.42,480.97,192610
QQQ,60,240621,110000,480.95,482.36,480.25,482.36,121966
QQQ,60,240621,120000,482.41,482.53,480.59,480.7,120321
QQQ,60,240621,130000,480.72,481.07,479.57,479.85,156821
QQQ,60,240621,140000,479.87,480.8,479.77,480.31,193963
QQQ,60,240621,150000,480.32,481.05,480,480.06,505627
QQQ,60,240624,90000,478.18,479.19,476.855,478.76,154772
QQQ,60,240624,100000,478.71,479.93,475.8,477.8,309959
QQQ,60,240624,110000,477.81,478.39,477.03,478.07,157280
QQQ,60,240624,120000,477.96,478.15,476.28,476.56,101931
QQQ,60,240624,130000,476.46,476.83,475,475.5,219678
QQQ,60,240624,140000,475.46,476.09,474.52,475.77,276156
QQQ,60,240624,150000,475.68,476.55,473.82,473.96,648284
QQQ,60,240625,90000,476.07,476.56,475.12,475.99,163769
QQQ,60,240625,100000,476.08,477.75,476.08,476.91,173452
QQQ,60,240625,110000,476.97,479.16,476.97,479.14,173940
QQQ,60,240625,120000,479.09,479.31,476.69,477.1,166578
QQQ,60,240625,130000,477.07,478.5,476.275,478.31,146853
QQQ,60,240625,140000,478.34,479.29,478.16,478.91,177420
QQQ,60,240625,150000,478.915,479.66,478.57,479.33,269748
QQQ,60,240626,90000,478.55,480.25,478.33,479.58,129999
QQQ,60,240626,100000,479.56,480.83,478.96,479.62,128124
QQQ,60,240626,110000,479.77,480.87,478.175,480.67,206954
QQQ,60,240626,120000,480.51,480.71,478.93,479.58,93826
QQQ,60,240626,130000,479.67,480.04,478.74,479.94,57560
QQQ,60,240626,140000,479.83,479.9,479.04,479.09,109854
QQQ,60,240626,150000,479.13,480.92,478.56,480.37,206494
QQQ,60,240627,90000,480.13,482.73,480.13,481.77,172407
QQQ,60,240627,100000,481.74,483.08,480.41,481.08,171569
QQQ,60,240627,110000,481.06,481.27,479.31,480.12,143599
QQQ,60,240627,120000,480.06,481.75,479.92,481.06,100468
QQQ,60,240627,130000,481.2,481.99,481.02,481.25,58266
QQQ,60,240627,140000,481.24,481.52,480.29,481.45,94921
QQQ,60,240627,150000,481.45,481.84,480.44,481.57,162808
QQQ,60,240628,90000,482.41,484.27,481.71,484.24,216888
QQQ,60,240628,100000,484.27,487.19,483.56,484.06,298433
QQQ,60,240628,110000,484.01,484.01,482.58,483.3,178303
QQQ,60,240628,120000,483.29,483.46,480.43,481.62,206227
QQQ,60,240628,130000,481.45,482.43,481.17,481.69,151250
QQQ,60,240628,140000,481.7,482.43,480.88,481.01,170101
QQQ,60,240628,150000,480.97,481.11,478.48,479.01,674998
QQQ,60,240701,90000,480.04,480.39,476.95,478.02,187038
QQQ,60,240701,100000,478.2,479.55,476.285,478.56,247497
QQQ,60,240701,110000,478.51,480.21,478.07,480.16,100677
QQQ,60,240701,120000,480.18,481.41,479.79,481.04,123473
QQQ,60,240701,130000,481.05,481.21,480.24,480.75,70655
QQQ,60,240701,140000,480.7,481.95,480.34,481.095,109250
QQQ,60,240701,150000,481.085,482.49,480.37,481.96,209304
QQQ,60,240702,90000,480.41,483.15,480.29,482.36,174036
QQQ,60,240702,100000,482.49,483.78,481.31,483.46,208491
QQQ,60,240702,110000,483.48,484.53,482.86,483.08,177425
QQQ,60,240702,120000,483.14,483.87,482.38,483.76,71811
QQQ,60,240702,130000,483.815,485.96,483.72,485.8,229576
QQQ,60,240702,140000,485.79,486.52,485.72,486.14,143090
QQQ,60,240702,150000,486.11,487.03,485.89,487.01,298296
QQQ,60,240703,90000,486.22,487.82,486.22,487.48,167008
QQQ,60,240703,100000,487.7,488.75,486.78,488.57,208637
QQQ,60,240703,110000,488.58,490.175,488.1,490.155,199100
QQQ,60,240703,120000,490.14,491.17,489.89,491.01,449088
QQQ,60,240705,90000,491.89,493.68,491.6,493.56,191733
QQQ,60,240705,100000,493.67,494.51,492.43,493.825,275286
QQQ,60,240705,110000,493.82,495.77,493.53,495.53,221081
QQQ,60,240705,120000,495.61,496.02,495.09,495.37,167130
QQQ,60,240705,130000,495.34,496.49,495.07,496.16,151917
QQQ,60,240705,140000,496.24,496.31,495.49,495.94,115346
QQQ,60,240705,150000,495.9,496.6,495.83,496.23,325966
QQQ,60,240708,90000,496.53,497.02,495.8,496.61,177130
QQQ,60,240708,100000,496.63,496.78,495.55,496,178706
QQQ,60,240708,110000,495.99,497.47,495.875,497.41,198628
QQQ,60,240708,120000,497.42,497.42,496.03,496.64,107545
QQQ,60,240708,130000,496.65,497.44,496.47,497.13,65368
QQQ,60,240708,140000,497.08,497.15,496.03,496.93,85479
QQQ,60,240708,150000,496.76,497.89,496.24,497.41,197805
QQQ,60,240709,90000,498.87,499.83,498.77,499.49,139310
QQQ,60,240709,100000,499.52,499.99,497.8,498.55,227568
QQQ,60,240709,110000,498.45,498.77,497.6,498.3,122533
QQQ,60,240709,120000,498.26,498.67,496.94,497.72,119874
QQQ,60,240709,130000,497.66,498.05,496.26,497.32,132868
QQQ,60,240709,140000,497.28,497.77,496.89,497.61,99305
QQQ,60,240709,150000,497.63,497.91,497.21,497.76,210839
QQQ,60,240710,90000,499.71,500.16,498.85,499.85,161764
QQQ,60,240710,100000,499.865,500.59,498.91,498.97,193610
QQQ,60,240710,110000,498.93,499.97,498.4,499.94,114926
QQQ,60,240710,120000,499.92,501.89,499.78,501.82,234064
QQQ,60,240710,130000,501.82,502.62,501.695,502.49,134778
QQQ,60,240710,140000,502.48,502.97,502.18,502.64,117847
QQQ,60,240710,150000,502.58,503.5,502,502.96,399170
QQQ,60,240711,90000,503.07,503.28,501.32,502.44,284133
QQQ,60,240711,100000,502.5,502.5,496.03,496.13,411463
QQQ,60,240711,110000,496.12,497.13,493.03,493.15,589090
QQQ,60,240711,120000,493.21,494.57,492.13,492.35,295217
QQQ,60,240711,130000,492.48,493.25,490.95,491.06,272936
QQQ,60,240711,140000,491.07,492.94,490.73,492.89,200807
QQQ,60,240711,150000,492.91,493.54,491.86,491.91,665605
QQQ,60,240712,90000,492.51,495.02,492.04,494.88,243701
QQQ,60,240712,100000,494.97,497.69,494.41,497.13,290928
QQQ,60,240712,110000,497.2,497.82,496.03,496.14,171771
QQQ,60,240712,120000,496.04,497.02,495.18,497,177116
QQQ,60,240712,130000,496.995,499.61,496.84,498.88,244195
QQQ,60,240712,140000,498.89,499.2,498.2,498.9,165652
QQQ,60,240712,150000,498.885,498.93,494.12,494.88,556042
QQQ,60,240715,90000,496.61,497.96,495.93,496.98,221028
QQQ,60,240715,100000,497.05,499.59,496.98,499.37,183413
QQQ,60,240715,110000,499.42,500.97,497.88,498.75,286579
QQQ,60,240715,120000,498.73,498.75,496.44,497.53,273186
QQQ,60,240715,130000,497.53,497.53,495.32,495.62,309262
QQQ,60,240715,140000,495.58,497.15,495.16,496.73,193516
QQQ,60,240715,150000,496.67,497.35,494.1,496.26,508220
QQQ,60,240716,90000,497.62,498.43,495.61,495.96,144106
QQQ,60,240716,100000,496.19,496.22,493.65,494.96,301260
QQQ,60,240716,110000,494.96,496.55,494.57,495.12,147012
QQQ,60,240716,120000,495.27,495.58,493.15,495.15,193535
QQQ,60,240716,130000,495,495,493.89,494.65,127451
QQQ,60,240716,140000,494.57,496.13,493.7,496.13,220086
QQQ,60,240716,150000,496.1,496.68,495.42,496.39,322310
QQQ,60,240717,90000,488.28,488.79,487,487.05,604260
QQQ,60,240717,100000,487.05,487.09,484.39,484.98,517035
QQQ,60,240717,110000,484.96,485.65,483.31,484.09,325056
QQQ,60,240717,120000,484.08,484.16,482.21,483.53,513572
QQQ,60,240717,130000,483.48,484.04,482.31,482.78,251707
QQQ,60,240717,140000,482.79,483.81,482.32,482.7,327804
QQQ,60,240717,150000,482.67,483.72,481.7,481.85,700948
QQQ,60,240718,90000,485.5,485.69,482.61,483.64,311952
QQQ,60,240718,100000,483.6,484.63,479.52,481.78,461070
QQQ,60,240718,110000,481.725,482.11,476.88,477.16,449387
QQQ,60,240718,120000,477.12,479.99,476.615,479.98,374634
QQQ,60,240718,130000,479.965,480.75,478.62,479.03,256603
QQQ,60,240718,140000,479.05,479.44,477.35,478.4,224938
QQQ,60,240718,150000,478.39,481.12,476.28,479.6,553817
QQQ,60,240719,90000,479.07,481.69,478.35,479.49,294949
QQQ,60,240719,100000,479.53,480.28,476.92,478.21,318981
QQQ,60,240719,110000,478.25,479.28,475.2,477.87,385750
QQQ,60,240719,120000,477.74,478.07,474.75,475.79,254748
QQQ,60,240719,130000,475.65,475.77,473.95,475.59,201815
QQQ,60,240719,140000,475.57,476.16,474.36,475.57,157939
QQQ,60,240719,150000,475.64,477.07,474.66,475.22,519113
QQQ,60,240722,90000,481.16,482.86,479.46,481.55,250810
QQQ,60,240722,100000,481.68,482.69,479.8,481.14,309479
QQQ,60,240722,110000,481.25,482.2,477.77,479.05,344589
QQQ,60,240722,120000,479.04,481.63,478.41,481.36,160494
QQQ,60,240722,130000,481.39,482.64,481.32,482.25,156045
QQQ,60,240722,140000,482.33,483.34,482.11,482.61,134614
QQQ,60,240722,150000,482.67,483.1,481.81,482.34,453631
QQQ,60,240723,90000,481.4,483.27,480.93,482.54,175256
QQQ,60,240723,100000,482.74,483.55,480.7,481.68,180220
QQQ,60,240723,110000,481.64,484.43,481.64,483.24,120799
QQQ,60,240723,120000,483.22,483.365,480.78,481.25,184706
