<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPY,60,240402,130000,517.98,518.12,517.36,517.75,361746
SPY,60,240402,140000,517.76,518.14,517.64,517.79,461191
SPY,60,240402,150000,517.79,518.97,517.74,518.86,1844469
SPY,60,240403,90000,517.72,518.61,517.68,518.39,318889
SPY,60,240403,100000,518.44,520.84,518.44,520.68,711071
SPY,60,240403,110000,520.67,520.95,520.1,520.19,338988
SPY,60,240403,120000,520.2,520.83,519.4,520.34,608706
SPY,60,240403,130000,520.37,520.8,520.31,520.56,263261
SPY,60,240403,140000,520.56,520.8,519.86,519.98,378292
SPY,60,240403,150000,519.94,520.02,517.77,519.36,1454579
SPY,60,240403,160000,519.36,519.36,519.36,519.36,100
SPY,60,240404,90000,523.53,523.7,522.59,522.84,592701
SPY,60,240404,100000,522.83,523.04,522.5,522.74,413253
SPY,60,240404,110000,522.73,523.3,522.38,523.26,332623
SPY,60,240404,120000,523.28,523.86,523.18,523.44,366880
SPY,60,240404,130000,523.44,523.47,521.71,521.86,379336
SPY,60,240404,140000,521.86,521.86,515.5,515.91,1939944
SPY,60,240404,150000,515.81,516.03,512.76,513.04,2538197
SPY,60,240405,90000,514.46,516.39,514.02,515.95,592046
SPY,60,240405,100000,515.95,518.09,514.89,518.06,784030
SPY,60,240405,110000,518.04,519.71,516.43,519.43,819467
SPY,60,240405,120000,519.43,520.43,519.08,520.34,944824
SPY,60,240405,130000,520.33,520.43,517.43,517.78,762201
SPY,60,240405,140000,517.8,519.28,516.97,517.86,963346
SPY,60,240405,150000,517.88,519.28,517.68,518.39,1160215
SPY,60,240408,90000,519.15,519.38,517.99,518.79,378023
SPY,60,240408,100000,518.88,520.17,518.2,519.99,568925
SPY,60,240408,110000,520.03,520.12,518.28,518.76,457561
SPY,60,240408,120000,518.73,519.44,517.9,519.44,411660
SPY,60,240408,130000,519.43,519.46,518.66,519.28,299088
SPY,60,240408,140000,519.33,519.46,518.67,519.26,387699
SPY,60,240408,150000,519.29,519.69,518.23,518.68,1185362
SPY,60,240409,90000,520.5,520.73,518.775,518.91,448808
SPY,60,240409,100000,518.91,519.27,514.35,515.53,1066766
SPY,60,240409,110000,515.52,517.12,515.2,516.84,621008
SPY,60,240409,120000,516.825,517.78,516.58,516.79,417249
SPY,60,240409,130000,516.77,517.64,516.61,516.69,380342
SPY,60,240409,140000,516.67,517.29,516.24,516.51,408200
SPY,60,240409,150000,516.5,519.44,515.72,519.3,1245152
SPY,60,240410,90000,513.48,514.48,512.68,513.97,853747
SPY,60,240410,100000,514,516.16,513.48,514.48,874537
SPY,60,240410,110000,514.47,514.53,513.02,513.38,513705
SPY,60,240410,120000,513.34,514.37,512.99,514.17,424102
SPY,60,240410,130000,514.17,515.13,512.09,513.81,1030955
SPY,60,240410,140000,513.82,514.68,512.57,512.61,670087
SPY,60,240410,150000,512.6,515.07,512.45,514.16,1245047
SPY,60,240411,90000,515.68,515.86,514.11,514.585,324050
SPY,60,240411,100000,514.64,514.69,512.1,513.19,645373
SPY,60,240411,110000,513.23,515.44,513.15,515.31,486939
SPY,60,240411,120000,515.37,515.62,514.74,515.25,569576
SPY,60,240411,130000,515.3,518.13,514.88,518,732889
SPY,60,240411,140000,518.01,519.47,517.94,518.71,546184
SPY,60,240411,150000,518.69,519.35,517.98,518.04,1301947
SPY,60,240412,90000,514.38,515.81,514.08,515.24,589397
SPY,60,240412,100000,515.37,515.37,512.03,512.29,889023
SPY,60,240412,110000,512.31,514.02,512.2,513.5,513278
SPY,60,240412,120000,513.45,513.52,510.49,510.57,820602
SPY,60,240412,130000,510.59,511.24,509.32,510.49,846441
SPY,60,240412,140000,510.45,511.415,509.565,509.58,688570
SPY,60,240412,150000,509.565,510.92,509.09,510.825,1557936
SPY,60,240415,90000,515.13,515.29,514.2,514.89,765718
SPY,60,240415,100000,514.91,515.005,511.07,511.09,910437
SPY,60,240415,110000,511.13,512.6,510.81,512.31,569311
SPY,60,240415,120000,512.34,512.615,509.51,510.08,490840
SPY,60,240415,130000,510.03,510.56,505.015,506.37,1111750
SPY,60,240415,140000,506.34,506.48,504.425,505.19,902102
SPY,60,240415,150000,505.17,505.26,503.59,504.5,1628132
SPY,60,240416,90000,504.94,505.2,502.97,504.44,552777
SPY,60,240416,100000,504.43,505.22,502.43,503.09,475279
SPY,60,240416,110000,503.1,505.36,502.88,504.26,459551
SPY,60,240416,120000,504.24,505.09,503.51,504.54,325148
SPY,60,240416,130000,504.55,505.02,502.23,504.08,628234
SPY,60,240416,140000,503.91,506.5,502.61,505.8,901126
SPY,60,240416,150000,505.81,505.85,503.295,503.5,1463696
SPY,60,240417,90000,506.06,506.22,505.015,505.29,480538
SPY,60,240417,100000,505.3,505.35,502.19,502.89,660933
SPY,60,240417,110000,502.92,504,501.02,501.73,677818
SPY,60,240417,120000,501.66,501.76,499.12,499.86,849263
SPY,60,240417,130000,499.85,502.56,499.75,502.4,709951
SPY,60,240417,140000,502.41,504.03,501.32,501.6,674214
SPY,60,240417,150000,501.58,501.82,500.39,500.5,1318395
SPY,60,240418,90000,501.98,502.07,499.75,501.18,500867
SPY,60,240418,100000,501.17,503.82,500.37,503.38,698745
SPY,60,240418,110000,503.4,504.12,502.63,502.88,475602
SPY,60,240418,120000,502.89,503.31,500.63,500.785,470174
SPY,60,240418,130000,500.79,501.14,498.88,499.64,651765
SPY,60,240418,140000,499.57,500.43,498.57,498.98,678520
SPY,60,240418,150000,498.96,500.82,498.96,499.48,1040151
SPY,60,240418,160000,499.48,499.48,499.48,499.48,300
SPY,60,240419,90000,499.44,500.44,498.69,499.64,408830
SPY,60,240419,100000,499.615,500.14,497.6,498.54,885451
SPY,60,240419,110000,498.53,498.95,496.99,497.12,701913
SPY,60,240419,120000,497.07,497.77,495.09,497.1,844410
SPY,60,240419,130000,497.085,498.45,496.45,497.29,616888
SPY,60,240419,140000,497.25,497.33,494.04,494.95,1028118
SPY,60,240419,150000,494.89,495.72,493.87,495.11,1431317
SPY,60,240422,90000,497.83,498.06,496.76,497.61,462991
SPY,60,240422,100000,497.58,498.21,495.95,496.2,450022
SPY,60,240422,110000,496.15,497.41,495.44,497.39,521312
SPY,60,240422,120000,497.41,498.51,497.29,498.4,398039
SPY,60,240422,130000,498.42,501.9,498.24,501.44,760321
SPY,60,240422,140000,501.44,502.38,500.63,501.33,606534
SPY,60,240422,150000,501.34,501.35,498.91,499.65,1423222
SPY,60,240423,90000,501.78,503.67,501.23,503.06,463369
SPY,60,240423,100000,503.08,505.32,502.69,505.21,790998
