,<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,PriceChange
1596,ETHUSDT,60,240307,120000,3787.58,3804.5,3773.4,3781.6,15571.213,-0.15788445392572614
1597,ETHUSDT,60,240307,130000,3781.6,3810.77,3765.12,3806.07,17184.6835,0.6470806008038993
1598,ETHUSDT,60,240307,140000,3806.06,3853.8,3780.52,3806.85,46102.8592,0.02075637273190553
1599,ETHUSDT,60,240307,150000,3806.85,3855.23,3796.51,3837.16,33913.9343,0.7961963302993273
1600,ETHUSDT,60,240307,160000,3837.17,3848.14,3812.44,3830.63,20991.4323,-0.17043810933578557
1601,ETHUSDT,60,240307,170000,3830.62,3872.6,3825.63,3858.6,24554.2701,0.7304300609300849
1602,ETHUSDT,60,240307,180000,3858.61,3881.61,3843.89,3879.08,17341.2194,0.5305019164932397
1603,ETHUSDT,60,240307,190000,3879.08,3883.77,3852.43,3870.19,15442.6307,-0.22917805252791573
1604,ETHUSDT,60,240307,200000,3870.19,3933.16,3863.0,3928.87,38426.9218,1.5162046307803967
1605,ETHUSDT,60,240307,210000,3928.87,3933.81,3854.01,3869.15,30096.7416,-1.520029932270597
1606,ETHUSDT,60,240307,220000,3869.15,3888.53,3840.0,3857.01,18618.9046,-0.31376400501401785
1607,ETHUSDT,60,240307,230000,3857.01,3870.29,3851.86,3868.76,15713.2392,0.30464012278941455
1608,ETHUSDT,60,240308,0,3868.76,3908.28,3863.56,3905.06,20765.0654,0.9382851352888194
1609,ETHUSDT,60,240308,10000,3905.06,3940.6,3902.46,3904.83,29575.5401,-0.005889794266925942
1610,ETHUSDT,60,240308,20000,3904.83,3916.56,3891.26,3903.0,14768.0972,-0.04686503637802228
1611,ETHUSDT,60,240308,30000,3903.0,3912.38,3891.45,3900.85,12617.213,-0.055085831411736896
1612,ETHUSDT,60,240308,40000,3900.85,3910.22,3885.8,3899.14,10913.2195,-0.043836599715447566
1613,ETHUSDT,60,240308,50000,3899.14,3904.25,3880.0,3888.06,10927.7602,-0.28416522617807843
1614,ETHUSDT,60,240308,60000,3888.07,3932.0,3883.59,3930.57,14561.1809,1.0930873158147871
1615,ETHUSDT,60,240308,70000,3930.57,3946.57,3906.39,3908.16,28342.7885,-0.5701463146566608
1616,ETHUSDT,60,240308,80000,3908.16,3952.91,3908.15,3940.03,24858.2897,0.8154732661917719
1617,ETHUSDT,60,240308,90000,3940.03,3950.73,3927.4,3930.43,22987.8716,-0.2436529671093967
1618,ETHUSDT,60,240308,100000,3930.43,3954.98,3922.57,3946.56,16830.2237,0.4103876675071203
1619,ETHUSDT,60,240308,110000,3946.55,3952.0,3933.63,3950.46,14767.5788,0.09907387465000708
1620,ETHUSDT,60,240308,120000,3950.46,3953.0,3933.43,3944.99,15004.1699,-0.13846488763334536
1621,ETHUSDT,60,240308,130000,3944.99,3981.75,3941.18,3971.07,32131.2096,0.6610916630967476
1622,ETHUSDT,60,240308,140000,3971.08,3986.2,3945.4,3973.42,32646.1153,0.05892603523475089
1623,ETHUSDT,60,240308,150000,3973.42,3993.75,3886.0,3900.75,92459.6486,-1.828903060839279
1624,ETHUSDT,60,240308,160000,3900.76,3911.6,3820.0,3905.1,92993.2279,0.11126036977408738
1625,ETHUSDT,60,240308,170000,3905.09,3978.49,3898.23,3942.38,37977.8801,0.9549075693517938
1626,ETHUSDT,60,240308,180000,3942.38,3950.74,3916.79,3928.21,18317.4515,-0.35942755391413495
1627,ETHUSDT,60,240308,190000,3928.2,3930.8,3885.12,3928.82,24716.5602,0.01578331042208507
1628,ETHUSDT,60,240308,200000,3928.82,3950.25,3921.8,3939.44,22349.481,0.2703101694656383
1629,ETHUSDT,60,240308,210000,3939.44,3950.85,3890.0,3903.34,23770.9212,-0.916373900859003
1630,ETHUSDT,60,240308,220000,3903.35,3912.37,3871.28,3876.88,20668.4167,-0.6781354477564092
1631,ETHUSDT,60,240308,230000,3876.87,3901.02,3873.66,3883.36,11449.3483,0.1674030854787557
1632,ETHUSDT,60,240309,0,3883.37,3905.83,3877.5,3904.14,12146.868,0.5348447353715969
1633,ETHUSDT,60,240309,10000,3904.13,3909.0,3889.4,3901.99,9516.3063,-0.05481374851760385
