,<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,PriceChange
151,QQQ,60,240201,130000,420.7,421.1,419.39,420.43,385840,-0.06417874970287184
152,QQQ,60,240201,140000,420.51,421.95,420.46,421.86,335852,0.32103873867447213
153,QQQ,60,240201,150000,421.9,422.37,421.21,422.06,599348,0.037923678596829824
154,QQQ,60,240202,90000,423.8,426.62,422.79,425.79,550252,0.469561113732895
155,QQQ,60,240202,100000,425.8,427.6,424.81,426.94,520516,0.2677313292625614
156,QQQ,60,240202,110000,426.98,428.83,426.18,428.5,363620,0.355988570893246
157,QQQ,60,240202,120000,428.67,429.79,427.56,428.67,529574,0.0
158,QQQ,60,240202,130000,428.7,429.35,427.98,429.12,364759,0.0979706088173585
159,QQQ,60,240202,140000,429.14,430.24,429.11,429.92,330866,0.18175886657035692
160,QQQ,60,240202,150000,429.96,430.22,429.13,429.15,644423,-0.18838961763885065
161,QQQ,60,240205,90000,429.07,429.4,427.98,428.66,434196,-0.09555550376394718
162,QQQ,60,240205,100000,428.65,428.65,425.01,425.95,582368,-0.6298845211711159
163,QQQ,60,240205,110000,425.94,427.61,425.75,427.535,299138,0.374465887214168
164,QQQ,60,240205,120000,427.5,428.98,427.43,428.4,375401,0.21052631578946834
165,QQQ,60,240205,130000,428.41,429.02,427.98,428.47,227571,0.014005275320371205
166,QQQ,60,240205,140000,428.48,429.6,428.12,429.4,239104,0.21471247199401586
167,QQQ,60,240205,150000,429.38,429.38,427.88,428.43,386552,-0.22124924309469204
168,QQQ,60,240206,90000,429.58,430.21,427.43,427.5,383943,-0.48419386377391505
169,QQQ,60,240206,100000,427.49,427.57,426.13,427.1,477568,-0.09123020421530008
170,QQQ,60,240206,110000,427.02,427.67,425.66,425.91,301633,-0.2599409863706517
171,QQQ,60,240206,120000,425.85,426.53,425.22,425.93,342666,0.018785957496767425
172,QQQ,60,240206,130000,425.96,426.92,425.87,426.89,128503,0.21833035965818548
173,QQQ,60,240206,140000,426.91,427.12,425.27,427.01,201878,0.023424140919623783
174,QQQ,60,240206,150000,427.025,427.69,426.15,427.64,444911,0.144019670979453
175,QQQ,60,240207,90000,430.42,430.51,429.1,429.74,289210,-0.15798522373495813
176,QQQ,60,240207,100000,429.73,432.83,429.27,431.82,617432,0.4863518953761606
177,QQQ,60,240207,110000,431.84,432.3,431.09,432.08,354160,0.05557613931085799
178,QQQ,60,240207,120000,432.1,432.3,430.56,431.5,256634,-0.13885674612358775
179,QQQ,60,240207,130000,431.5,432.45,430.77,432.27,250438,0.1784472769408996
180,QQQ,60,240207,140000,432.28,432.49,431.795,432.33,170173,0.011566577218472141
181,QQQ,60,240207,150000,432.33,432.62,431.77,432.02,391361,-0.07170448499988488
182,QQQ,60,240208,90000,432.12,432.5,431.43,432.47,284695,0.08099601962418373
183,QQQ,60,240208,100000,432.51,433.45,431.84,433.41,278486,0.20808767427343508
184,QQQ,60,240208,110000,433.38,433.49,432.68,433.33,225615,-0.0115372190687183
185,QQQ,60,240208,120000,433.29,433.55,432.44,432.6,182404,-0.1592466939001587
186,QQQ,60,240208,130000,432.6,433.47,432.51,432.895,218581,0.06819232547386941
187,QQQ,60,240208,140000,432.91,433.05,431.92,432.78,191234,-0.030029336351678707
188,QQQ,60,240208,150000,432.76,433.15,432.41,432.8,409642,0.009242998428694997
189,QQQ,60,240209,90000,433.93,434.77,433.17,434.72,253146,0.1820570138040745
190,QQQ,60,240209,100000,434.81,436.06,434.295,435.97,545625,0.26678319265886824
191,QQQ,60,240209,110000,435.99,436.32,435.35,435.96,277422,-0.006880891763579339
192,QQQ,60,240209,120000,435.93,436.78,435.63,436.73,184871,0.1835157020622603
193,QQQ,60,240209,130000,436.73,437.21,436.62,437.05,286095,0.07327181553820282
194,QQQ,60,240209,140000,437.05,437.84,436.85,437.47,254832,0.09609884452580161
195,QQQ,60,240209,150000,437.48,437.5,436.89,437.09,442387,-0.08914693243120674
196,QQQ,60,240212,90000,436.95,437.44,436.4,437.18,246805,0.05263760155624629
197,QQQ,60,240212,100000,437.18,438.23,436.58,438.13,303191,0.2173017978864515
198,QQQ,60,240212,110000,438.135,439.14,437.76,438.63,220745,0.11297887637372146
199,QQQ,60,240212,120000,438.66,438.83,437.85,438.74,205555,0.01823735923037981
200,QQQ,60,240212,130000,438.7,438.84,436.02,436.72,341173,-0.45133348529746103
201,QQQ,60,240212,140000,436.73,436.8,434.65,435.03,419339,-0.3892565200467212
202,QQQ,60,240212,150000,435.1,435.85,435.04,435.31,447639,0.048264766720289475
203,QQQ,60,240213,90000,427.28,428.665,426.29,428.385,795295,0.2586126193596747
204,QQQ,60,240213,100000,428.42,431.25,427.38,429.68,701513,0.29410391671723796
205,QQQ,60,240213,110000,429.75,430.91,429.43,429.58,420028,-0.039557882489823365
206,QQQ,60,240213,120000,429.55,429.71,428.18,428.42,306400,-0.26306599930159363
207,QQQ,60,240213,130000,428.38,428.99,427.79,428.04,285253,-0.07936878472383747
208,QQQ,60,240213,140000,428.0,428.01,425.9,426.11,553697,-0.4415887850467258
209,QQQ,60,240213,150000,426.08,428.55,425.34,428.5,1080415,0.5679684566278671
210,QQQ,60,240214,90000,431.24,431.97,430.13,431.28,335091,0.009275577404685006
211,QQQ,60,240214,100000,431.29,432.65,430.18,430.18,476738,-0.25736743258596617
