status_code,error,page_rank_integer,page_rank_decimal,rank,domain,website
200,,5,5.03,115962,shepherdexpress.com,shepherdexpress.com
200,,5,5.29,42280,booklistonline.com,www.booklistonline.com
200,,5,5.35,35058,shootonline.com,www.shootonline.com
200,,3,3.07,9221435,northcoastcitizen.com,www.northcoastcitizen.com
200,,5,4.93,186705,today.appstate.edu,today.appstate.edu
200,,2,2.08,48483157,slcc.uloop.com,slcc.uloop.com
200,,4,4.21,1587917,blueribbonnews.com,blueribbonnews.com
200,,4,4.1,1742565,sunflowerstateradio.com,sunflowerstateradio.com
200,,4,3.9,2091956,uvureview.com,www.uvureview.com
200,,5,4.78,652934,thevwindependent.com,thevwindependent.com
200,,5,4.89,315299,newtownbee.com,www.newtownbee.com
200,,5,5.23,55269,thestrad.com,www.thestrad.com
200,,6,5.57,17159,kpbs.org,www.kpbs.org
200,,5,4.81,535722,recordherald.com,www.recordherald.com
200,,5,5.14,75490,islingtongazette.co.uk,www.islingtongazette.co.uk
200,,4,3.59,3738803,wlec.com,wlec.com
200,,3,2.98,10316713,937kclb.com,www.937kclb.com
200,,6,5.61,15539,thegazette.com,www.thegazette.com
200,,5,4.93,193267,sanjoseinside.com,www.sanjoseinside.com
200,,3,2.95,10800023,mix1005.fm,www.mix1005.fm
200,,5,4.78,647711,northwestmoinfo.com,www.northwestmoinfo.com
200,,6,5.56,17510,theoaklandpress.com,www.theoaklandpress.com
200,,5,4.93,191167,wcyb.com,www.wcyb.com
200,,3,3.48,4339446,elyecho.com,www.elyecho.com
200,,5,4.99,140167,agwired.com,agwired.com
200,,5,5.43,26764,kslnewsradio.com,kslnewsradio.com
200,,5,4.8,575649,wrp.org.uk,wrp.org.uk
200,,5,5.38,31562,nsenergybusiness.com,www.nsenergybusiness.com
200,,3,3.44,4646967,wimsradio.com,wimsradio.com
200,,3,2.86,12316030,mix973wheeling.iheart.com,mix973wheeling.iheart.com
200,,5,4.91,233458,socialistproject.ca,socialistproject.ca
200,,5,4.91,225394,kgns.tv,www.kgns.tv
200,,7,6.51,3264,asia.nikkei.com,asia.nikkei.com
200,,4,3.85,2285132,wmzq.iheart.com,wmzq.iheart.com
200,,5,4.83,506682,patriotswire.usatoday.com,patriotswire.usatoday.com
200,,3,3.4,4838943,b1039.com,b1039.com
200,,6,5.55,18085,breakingdefense.com,breakingdefense.com
200,,5,4.79,590625,spencerdailyreporter.com,www.spencerdailyreporter.com
200,,5,5.36,33769,tvtechnology.com,www.tvtechnology.com
200,,5,5.07,97621,wapt.com,www.wapt.com
200,,4,3.67,3395252,979kissfm.iheart.com,979kissfm.iheart.com
200,,5,4.86,461116,djcoregon.com,djcoregon.com
200,,4,4.19,1620312,atthehive.com,atthehive.com
200,,4,3.94,1982646,news.uoregon.edu,news.uoregon.edu
200,,5,5.35,34321,heraldextra.com,www.heraldextra.com
200,,7,7.14,468,searchenginejournal.com,www.searchenginejournal.com
200,,5,4.8,563512,warwickonline.com,warwickonline.com
200,,7,7.28,375,theconversation.com,theconversation.com
200,,3,2.86,12269794,mix987.com,mix987.com
200,,6,6.49,3344,hyperallergic.com,hyperallergic.com
200,,5,4.78,635149,roundupweb.com,www.roundupweb.com
200,,5,5.0,132906,newsregister.com,newsregister.com
200,,5,5.21,58978,nationofchange.org,www.nationofchange.org
200,,6,5.84,9427,aviationweek.com,aviationweek.com
200,,6,6.45,3467,harpersbazaar.com,www.harpersbazaar.com
200,,5,4.99,136641,montereycountyweekly.com,www.montereycountyweekly.com
200,,5,5.23,53784,registercitizen.com,www.registercitizen.com
200,,6,5.51,20565,dailyprogress.com,dailyprogress.com
200,,3,3.37,5057094,datacollectiononline.com,www.datacollectiononline.com
200,,6,5.84,9300,medpagetoday.com,www.medpagetoday.com
200,,8,7.96,127,eventbrite.com,www.eventbrite.com
200,,5,5.2,61467,archyde.com,www.archyde.com
200,,5,4.91,224911,arrowheadpride.com,www.arrowheadpride.com
200,,3,3.42,4732540,fordcountychronicle.com,www.fordcountychronicle.com
200,,3,3.13,8677595,1470kyyw.com,1470kyyw.com
200,,3,3.44,4628902,magic98.com,www.magic98.com
200,,4,3.71,3240533,ordinarypatrons.com,ordinarypatrons.com
200,,4,3.83,2380975,queanbeyanage.com.au,www.queanbeyanage.com.au
200,,5,5.22,56940,undertheradarmag.com,www.undertheradarmag.com
200,,7,7.02,581,nationalgeographic.com,www.nationalgeographic.com
200,,5,4.78,643265,tonganoxiemirror.com,www.tonganoxiemirror.com
200,,3,2.98,10308187,k99country.iheart.com,k99country.iheart.com
200,,5,5.18,66710,whbl.com,whbl.com
200,,5,5.13,77898,ndsmcobserver.com,www.ndsmcobserver.com
200,,5,4.98,146329,westfaironline.com,westfaironline.com
200,,6,6.09,6392,news.stanford.edu,news.stanford.edu
200,,5,4.78,650155,q1057.com,q1057.com
200,,5,4.79,624618,mycowichanvalleynow.com,www.mycowichanvalleynow.com
404,Domain not found,0,0.0,,ask.elwakt.com,ask.elwakt.com
200,,5,4.85,461862,whqr.org,www.whqr.org
200,,4,3.75,3128475,theabingtonjournal.com,www.theabingtonjournal.com
200,,4,4.3,1491137,todayheadline.co,todayheadline.co
200,,3,3.47,4381262,thedailyiberian.com,www.thedailyiberian.com
200,,6,5.65,14017,cosmosmagazine.com,cosmosmagazine.com
200,,5,5.16,71779,timesdaily.com,www.timesdaily.com
200,,5,4.82,527291,gujaratsamachar.com,www.gujaratsamachar.com
200,,5,4.81,540864,coastalpoint.com,www.coastalpoint.com
200,,5,5.2,60238,universityherald.com,www.universityherald.com
200,,5,4.97,151643,wers.org,wers.org
200,,5,5.04,111089,burytimes.co.uk,www.burytimes.co.uk
200,,6,5.73,11705,pagesix.com,pagesix.com
200,,5,4.77,830738,obituaries.clintonherald.com,obituaries.clintonherald.com
200,,5,5.07,98453,downthetubes.net,downthetubes.net
200,,5,4.84,480046,leitrimobserver.ie,www.leitrimobserver.ie
200,,4,3.63,3532680,dominicanrepublicpost.com,dominicanrepublicpost.com
200,,5,5.18,68245,8newsnow.com,www.8newsnow.com
200,,5,5.05,106122,eejournal.com,www.eejournal.com
200,,5,4.74,930147,baconsrebellion.com,www.baconsrebellion.com
200,,5,4.77,786080,thearabtribune.com,www.thearabtribune.com
200,,3,2.5,21783543,freedom95.us,www.freedom95.us
200,,5,4.85,463505,banklesstimes.com,www.banklesstimes.com
200,,5,5.3,41478,lse.co.uk,www.lse.co.uk
200,,5,4.8,586319,kamloopsbcnow.com,www.kamloopsbcnow.com
200,,5,5.22,55445,wbsm.com,wbsm.com
200,,6,5.81,9999,motherearthnews.com,www.motherearthnews.com
200,,5,5.47,23005,rutgers.edu,www.rutgers.edu
200,,3,3.13,8674191,kgrt.com,www.kgrt.com
200,,5,4.89,320250,messenger.com.ge,messenger.com.ge
200,,4,3.65,3472545,weisradio.com,weisradio.com
200,,5,4.95,168651,times.co.sz,www.times.co.sz
200,,3,3.29,6431404,1055thebeat.iheart.com,1055thebeat.iheart.com
200,,4,3.79,2767719,800wvhu.iheart.com,800wvhu.iheart.com
200,,6,5.52,19800,thequietus.com,thequietus.com
200,,5,4.92,195858,49erswebzone.com,www.49erswebzone.com
200,,5,4.92,220830,cpbj.com,www.cpbj.com
200,,6,5.53,19309,interest.co.nz,www.interest.co.nz
200,,5,5.18,66906,kbtx.com,www.kbtx.com
200,,5,5.07,98375,eaworldview.com,eaworldview.com
200,,6,5.55,18230,movieweb.com,movieweb.com
200,,5,4.91,223281,zazoom.it,www.zazoom.it
200,,6,5.8,10066,newatlas.com,newatlas.com
200,,4,3.54,4061831,kajo.com,www.kajo.com
200,,5,5.25,50445,cbs2iowa.com,cbs2iowa.com
200,,5,4.77,725737,datzhott.com,datzhott.com
200,,5,5.1,88219,themedialine.org,themedialine.org
200,,6,5.88,8785,triblive.com,triblive.com
200,,6,5.58,16924,wbal.com,www.wbal.com
200,,5,5.4,28761,nknews.org,www.nknews.org
200,,5,5.21,58089,verticalmag.com,verticalmag.com
200,,6,5.56,17890,wtsp.com,www.wtsp.com
200,,4,3.81,2437753,ghettoradio.co.ke,ghettoradio.co.ke
