<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPY,60,240626,110000,544.21,545.44,543.04,545.32,269309
SPY,60,240626,120000,545.31,545.42,544.29,544.76,273720
SPY,60,240626,130000,544.75,545.01,544.01,544.87,168369
SPY,60,240626,140000,544.87,545.1,544.32,544.55,200573
SPY,60,240626,150000,544.62,546.23,544.15,545.52,691120
SPY,60,240627,090000,545.37,546.83,545.15,546.09,186479
SPY,60,240627,100000,546.09,546.96,545.62,545.99,284930
SPY,60,240627,110000,545.97,546.04,544.68,545.22,312380
SPY,60,240627,120000,545.25,546.1,545.11,545.635,224043
SPY,60,240627,130000,545.67,546.42,545.67,545.84,121123
SPY,60,240627,140000,545.79,545.8,544.63,545.38,386126
SPY,60,240627,150000,545.4,546.4,545.19,546.34,719477
SPY,60,240628,090000,547.16,548.23,546.69,548.06,314199
SPY,60,240628,100000,548.06,550.28,548.06,548.65,590938
SPY,60,240628,110000,548.62,548.62,547.28,547.715,327288
SPY,60,240628,120000,547.715,547.8,545.49,546.34,332555
SPY,60,240628,130000,546.32,546.98,545.86,545.98,297957
SPY,60,240628,140000,545.96,546.57,544.95,545.1,485245
SPY,60,240628,150000,545.1,545.46,542.96,544.09,2184497
SPY,60,240701,090000,545.63,545.84,544.11,544.77,426371
SPY,60,240701,100000,544.77,545.43,542.55,543.35,402382
SPY,60,240701,110000,543.32,544.49,542.9,544.47,201485
SPY,60,240701,120000,544.47,545.36,543.99,545.005,249303
SPY,60,240701,130000,545.01,545.25,544.62,544.92,134510
SPY,60,240701,140000,544.91,545.665,544.46,544.74,191543
SPY,60,240701,150000,544.75,545.88,543.83,545.37,789600
SPY,60,240702,090000,543.7,545.68,543.65,545.12,196958
SPY,60,240702,100000,545.24,545.97,544.47,545.76,233183
SPY,60,240702,110000,545.76,546.48,545.44,545.63,175463
SPY,60,240702,120000,545.64,546,545.12,546,217689
SPY,60,240702,130000,546,547.45,545.9,547.28,227506
SPY,60,240702,140000,547.28,547.98,547.25,547.64,213218
SPY,60,240702,150000,547.6,548.98,547.49,548.97,911445
SPY,60,240703,090000,548.69,549.62,548.66,549.55,228470
SPY,60,240703,100000,549.82,550.05,548.88,549.82,350399
