Date,Close/Last,Volume,Open,High,Low,Pct_Change
2017-06-27,241.33,82144080,243.04,243.38,241.31,-0.81
2017-06-28,243.49,69904140,242.5,243.715,242.23,0.9
2017-06-29,241.35,106617800,243.66,243.72,239.955,-0.88
2017-06-30,241.8,85199080,242.28,242.71,241.575,0.19
2017-07-03,242.21,39153810,242.88,243.38,242.21,0.17
2017-07-05,242.77,54252310,242.63,243.01,241.7,0.23
2017-07-06,240.55,65968410,241.89,242.03,240.34,-0.91
2017-07-07,242.11,57080980,241.21,242.28,240.5645,0.65
2017-07-10,242.37,36531030,241.95,242.8,241.76,0.11
2017-07-11,242.19,50246650,242.16,242.55,240.85,-0.07
2017-07-12,244.01,59173800,243.3,244.2,243.3,0.75
2017-07-13,244.42,39374380,244.02,244.55,243.76,0.17
2017-07-14,245.56,60218150,244.43,245.97,244.31,0.47
2017-07-17,245.53,33455300,245.47,245.91,245.33,-0.01
2017-07-18,245.66,42462230,245.06,245.72,244.67,0.05
2017-07-19,246.99,50876400,246.02,247.0,246.01,0.54
2017-07-20,247.1,46994570,247.28,247.42,246.47,0.04
2017-07-21,246.88,88656800,246.44,246.91,246.18,-0.09
2017-07-24,246.82,46497170,246.79,246.98,246.28,-0.02
2017-07-25,247.42,54492150,247.68,247.8,247.16,0.24
2017-07-26,247.43,47318940,247.75,247.79,247.13,0.0
2017-07-27,247.2,70410610,247.96,248.0,245.68,-0.09
2017-07-28,246.91,50018870,246.65,247.06,246.13,-0.12
2017-07-31,246.77,65446360,247.37,247.48,246.53,-0.06
2017-08-01,247.32,54942570,247.46,247.5,246.716,0.22
2017-08-02,247.44,46641310,247.47,247.6,246.37,0.05
2017-08-03,246.96,40725660,247.31,247.34,246.64,-0.19
2017-08-04,247.41,60164150,247.52,247.79,246.97,0.18
2017-08-07,247.87,31853630,247.49,247.87,247.37,0.19
2017-08-08,247.26,61437080,247.51,248.91,246.83,-0.25
2017-08-09,247.25,62302650,246.47,247.31,246.06,-0.0
2017-08-10,243.76,119874200,246.29,246.44,243.7,-1.41
2017-08-11,244.12,74719460,244.02,244.8,243.75,0.15
2017-08-14,246.54,73068140,245.59,246.79,245.55,0.99
2017-08-15,246.51,55046030,246.98,247.0,246.16,-0.01
2017-08-16,246.94,56456130,247.11,247.57,246.45,0.17
2017-08-17,243.09,127904900,246.24,246.6,243.09,-1.56
2017-08-18,242.71,136647500,242.9,244.189,242.2,-0.16
2017-08-21,242.9,65355480,242.64,243.2,241.83,0.08
2017-08-22,245.44,62968970,243.57,245.62,243.55,1.05
2017-08-23,244.56,49991840,244.33,245.05,244.16,-0.36
2017-08-24,243.99,50537170,245.0,245.18,243.75,-0.23
2017-08-25,244.56,63764770,244.9,245.61,244.39,0.23
2017-08-28,244.57,38914700,245.17,245.2,244.09,0.0
2017-08-29,244.85,50873040,243.06,245.15,242.93,0.11
2017-08-30,246.01,61742150,244.83,246.32,244.62,0.47
2017-08-31,247.49,102987700,246.72,247.77,246.0473,0.6
2017-09-01,247.84,61928670,247.92,248.33,247.67,0.14
2017-09-05,246.06,90176820,247.26,247.52,244.95,-0.72
2017-09-06,246.9,57577360,246.84,247.28,246.23,0.34
2017-09-07,246.87,57769340,247.25,247.27,246.4,-0.01
2017-09-08,246.58,63733100,246.54,247.11,246.3,-0.12
2017-09-11,249.21,71248670,248.04,249.3,248.02,1.07
2017-09-12,250.05,56617170,249.63,250.09,249.42,0.34
2017-09-13,250.17,58999620,249.72,250.21,249.59,0.05
2017-09-14,250.09,94415520,249.8,250.32,249.6,-0.03
2017-09-15,249.19,94195140,248.69,249.29,248.57,-0.36
2017-09-18,249.72,46389770,249.61,250.12,249.28,0.21
2017-09-19,249.97,46977870,250.0,250.07,249.6,0.1
2017-09-20,250.06,59451260,250.07,250.19,248.92,0.04
2017-09-21,249.39,48070470,249.88,249.98,249.185,-0.27
2017-09-22,249.44,51187270,249.05,249.63,249.02,0.02
2017-09-25,248.93,56897290,249.15,249.5532,248.08,-0.2
2017-09-26,249.08,54025690,249.42,249.7,248.805,0.06
2017-09-27,250.05,80720860,249.88,250.49,248.87,0.39
2017-09-28,250.35,44658490,249.73,250.44,249.63,0.12
2017-09-29,251.23,85201140,250.34,251.32,250.13,0.35
2017-10-02,252.32,58696810,251.49,252.32,251.2926,0.43
2017-10-03,252.86,66628100,252.46,252.89,252.23,0.21
2017-10-04,253.16,55799300,252.69,253.44,252.56,0.12
2017-10-05,254.66,63350340,253.54,254.68,253.196,0.59
2017-10-06,254.37,80525280,254.15,254.7008,253.85,-0.11
2017-10-09,253.95,35697230,254.63,254.7,253.65,-0.17
2017-10-10,254.62,42854370,254.6,255.05,253.98,0.26
2017-10-11,255.02,47496390,254.51,255.02,254.32,0.16
2017-10-12,254.64,46825470,254.66,255.06,254.365,-0.15
2017-10-13,254.95,55027240,255.14,255.27,254.64,0.12
2017-10-16,255.29,38097990,255.21,255.51,254.82,0.13
2017-10-17,255.47,31446710,255.23,255.52,254.98,0.07
2017-10-18,255.72,40613860,255.9,255.95,255.5,0.1
2017-10-19,255.79,61697310,254.83,255.83,254.35,0.03
2017-10-20,257.11,89064780,256.7,257.14,255.7744,0.52
2017-10-23,256.11,63838430,257.48,257.51,256.02,-0.39
2017-10-24,256.56,65036180,256.6,256.83,256.15,0.18
2017-10-25,255.29,103485100,256.18,256.31,254.0,-0.5
2017-10-26,255.62,69643520,255.99,256.3,255.48,0.13
