,Date,Open,High,Low,Pct_Change,Close/Last,Volume
1648,2021-10-06,"3,082.58","3,091.35","3,066.38",0.51,3083.88,248.15M
1649,2021-10-07,"3,099.99","3,118.52","3,098.81",0.56,3101.15,268.94M
1650,2021-10-08,"3,110.82","3,114.47","3,093.56",0.38,3112.81,206.49M
1651,2021-10-11,"3,118.57","3,124.62","3,110.39",0.02,3113.49,353.46M
1652,2021-10-12,"3,102.29","3,112.05","3,088.70",-0.05,3112.05,264.96M
1653,2021-10-13,"3,122.78","3,161.27","3,122.56",1.43,3156.42,348.94M
1654,2021-10-14,"3,148.34","3,170.52","3,136.04",0.27,3164.86,209.65M
1655,2021-10-15,"3,180.55","3,186.34","3,170.17",0.29,3173.91,263.75M
1656,2021-10-18,"3,174.30","3,179.00","3,163.11",0.0,3173.82,237.87M
1657,2021-10-19,"3,195.45","3,205.64","3,185.39",0.79,3199.01,228.40M
1658,2021-10-20,"3,212.67","3,213.33","3,191.89",-0.03,3198.08,211.17M
1659,2021-10-21,"3,203.92","3,206.78","3,183.10",-0.3,3188.5,183.42M
1660,2021-10-22,"3,195.36","3,205.14","3,191.63",0.52,3205.14,153.71M
1661,2021-10-25,"3,202.51","3,209.96","3,197.24",-0.1,3201.86,167.75M
1662,2021-10-26,"3,200.23","3,209.29","3,186.28",0.08,3204.57,180.24M
1663,2021-10-27,"3,206.06","3,228.05","3,202.69",0.42,3218.17,194.08M
1664,2021-10-28,"3,220.38","3,227.13","3,196.18",-0.45,3203.82,227.29M
1665,2021-10-29,"3,210.88","3,227.03","3,198.17",-0.18,3198.17,239.89M
1666,2021-11-01,"3,226.23","3,229.09","3,207.71",0.65,3219.05,194.81M
1667,2021-11-02,"3,225.67","3,233.00","3,213.26",0.41,3232.37,240.96M
1668,2021-11-03,"3,234.28","3,236.86","3,216.86",-0.39,3219.69,204.59M
1669,2021-11-05,"3,234.41","3,248.07","3,225.16",0.7,3242.34,279.05M
1670,2021-11-08,"3,251.85","3,270.65","3,250.39",0.66,3263.9,319.64M
1671,2021-11-09,"3,267.92","3,273.54","3,239.71",-0.63,3243.42,332.84M
1672,2021-11-10,"3,245.19","3,246.00","3,218.31",-0.37,3231.32,234.27M
1673,2021-11-11,"3,219.68","3,238.58","3,207.32",0.21,3238.07,212.98M
1674,2021-11-12,"3,244.09","3,248.38","3,226.17",-0.3,3228.45,287.38M
1675,2021-11-15,"3,228.44","3,241.85","3,222.47",0.38,3240.58,202.99M
1676,2021-11-16,"3,232.05","3,246.25","3,230.96",-0.05,3238.8,246.39M
1677,2021-11-17,"3,236.44","3,237.62","3,226.29",-0.19,3232.68,231.60M
1678,2021-11-18,"3,226.95","3,239.43","3,219.90",0.13,3237.02,167.05M
1679,2021-11-19,"3,233.63","3,238.97","3,227.06",-0.14,3232.34,198.20M
1680,2021-11-22,"3,234.11","3,244.73","3,231.10",0.15,3237.08,207.10M
1681,2021-11-23,"3,236.32","3,237.32","3,226.76",-0.3,3227.53,201.75M
1682,2021-11-24,"3,237.04","3,239.84","3,226.56",-0.01,3227.15,253.64M
1683,2021-11-25,"3,224.33","3,237.52","3,217.31",-0.17,3221.52,189.94M
1684,2021-11-26,"3,204.57","3,208.13","3,153.71",-1.72,3166.27,381.72M
1685,2021-11-29,"3,144.17","3,147.17","3,115.97",-1.44,3120.58,410.27M
1686,2021-11-30,"3,122.74","3,129.54","3,041.29",-2.54,3041.29,797.14M
1687,2021-12-01,"3,052.40","3,101.52","3,045.13",1.87,3098.25,367.86M
1688,2021-12-02,"3,068.15","3,100.55","3,065.91",-0.2,3092.11,293.01M
1689,2021-12-03,"3,083.26","3,109.64","3,080.29",0.32,3101.93,256.43M
1690,2021-12-06,"3,103.96","3,135.65","3,103.96",0.46,3116.32,228.45M
1691,2021-12-07,"3,123.26","3,138.41","3,120.44",0.59,3134.66,229.21M
1692,2021-12-08,"3,138.20","3,140.75","3,124.31",-0.16,3129.77,221.12M
1693,2021-12-09,"3,136.86","3,152.34","3,134.40",0.41,3142.45,163.03M
1694,2021-12-10,"3,133.89","3,141.85","3,129.25",-0.22,3135.61,190.42M
1695,2021-12-13,"3,156.60","3,161.95","3,119.95",-0.5,3119.95,182.43M
1696,2021-12-14,"3,117.12","3,128.80","3,114.43",0.04,3121.09,158.22M
1697,2021-12-15,"3,116.85","3,120.55","3,106.63",-0.2,3114.88,164.96M
1698,2021-12-16,"3,114.19","3,137.31","3,113.05",0.45,3128.8,178.79M
1699,2021-12-17,"3,122.92","3,134.99","3,111.63",-0.55,3111.63,294.90M
1700,2021-12-20,"3,093.23","3,098.49","3,068.21",-1.24,3072.97,197.08M
1701,2021-12-21,"3,083.74","3,101.75","3,079.34",0.39,3085.08,158.78M
1702,2021-12-22,"3,093.30","3,098.27","3,078.71",0.08,3087.51,150.08M
1703,2021-12-23,"3,098.04","3,104.18","3,090.25",0.3,3096.81,114.82M
1704,2021-12-24,"3,101.67","3,110.76","3,098.99",0.37,3108.28,55.19M
1705,2021-12-27,"3,107.63","3,113.55","3,104.24",-0.13,3104.24,81.42M
1706,2021-12-28,"3,110.82","3,128.92","3,108.93",0.78,3128.41,86.86M
1707,2021-12-29,"3,135.39","3,140.52","3,132.87",0.31,3138.02,90.62M
1708,2021-12-30,"3,132.36","3,137.86","3,126.55",-0.36,3126.64,113.74M
1709,2021-12-31,"3,127.11","3,139.74","3,123.68",-0.09,3123.68,60.04M
1710,2022-01-03,"3,130.48","3,138.27","3,127.60",0.34,3134.25,146.57M
1711,2022-01-04,"3,155.68","3,182.53","3,151.80",1.5,3181.13,357.29M
1712,2022-01-05,"3,187.57","3,196.60","3,154.96",-0.56,3163.44,272.02M
1713,2022-01-06,"3,152.75","3,186.33","3,144.81",0.66,3184.3,243.21M
1714,2022-01-07,"3,199.67","3,209.40","3,190.61",0.66,3205.26,238.17M
1715,2022-01-10,"3,211.26","3,241.41","3,209.30",0.68,3227.05,262.22M
1716,2022-01-11,"3,231.34","3,249.07","3,222.56",0.6,3246.37,330.28M
1717,2022-01-12,"3,261.26","3,263.65","3,242.59",0.27,3254.98,250.76M
1718,2022-01-13,"3,262.26","3,262.37","3,247.39",0.07,3257.3,200.52M
1719,2022-01-14,"3,264.74","3,282.41","3,262.36",0.76,3281.97,225.21M
1720,2022-01-17,"3,284.49","3,297.79","3,279.33",0.18,3287.95,209.23M
1721,2022-01-18,"3,295.08","3,299.64","3,273.46",-0.24,3280.04,195.36M
